,loss,opt,lr,batch,tiempo
0,"[2.301924467086792, 2.145402431488037, 2.042022228240967, 1.956619143486023, 1.8844819068908691]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f1477b15e90>,0.001,64,88.76142120361328
1,"[2.3255958557128906, 2.1577224731445312, 2.0616466999053955, 1.976356863975525, 1.9052478075027466]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f1477b15e90>,0.01,128,49.43440270423889
2,"[2.357898235321045, 2.19140362739563, 2.1139070987701416, 2.05495548248291, 2.0049312114715576]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f1477b15e90>,0.001,256,29.63591766357422
3,"[2.2787106037139893, 2.055675745010376, 1.9352648258209229, 1.8648333549499512, 1.8190593719482422]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f1477b154d0>,0.1,128,49.738205671310425
4,"[2.3264269828796387, 2.1648714542388916, 2.071310043334961, 1.9985169172286987, 1.927249789237976]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f1477b15e90>,0.01,128,47.26047945022583
5,"[2.2833054065704346, 2.066066265106201, 1.9294649362564087, 1.8402862548828125, 1.7807294130325317]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f1477b158d0>,0.01,128,45.08001136779785
6,"[2.282299280166626, 2.066621780395508, 1.940777063369751, 1.8526372909545898, 1.7852075099945068]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f1477b154d0>,0.01,256,28.909865379333496
7,"[2.3521103858947754, 2.219168186187744, 2.174353837966919, 2.142723798751831, 2.117709159851074]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f1477b158d0>,0.1,128,45.15691781044006
8,"[2.3036816120147705, 2.09140682220459, 1.965694546699524, 1.871538758277893, 1.8000106811523438]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f1477b154d0>,0.001,512,42.759788036346436
9,"[2.3024826049804688, 2.091481924057007, 1.9703673124313354, 1.8752092123031616, 1.805575966835022]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f1477b154d0>,0.1,512,43.381322145462036
