,loss,opt,lr,batch,tiempo
0,"[2.3115761280059814, 2.166569232940674, 2.083120584487915, 2.0113728046417236, 1.9413005113601685]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efdfabc6ad0>,0.1,128,77.15730166435242
1,"[2.2881996631622314, 2.0673553943634033, 1.935845971107483, 1.8418256044387817, 1.7806633710861206]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1e12bdd0>,0.1,256,84.09077334403992
2,"[2.2856621742248535, 2.0697672367095947, 1.9404487609863281, 1.8483613729476929, 1.784508466720581]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1e12bdd0>,0.1,256,84.09923839569092
3,"[2.271857500076294, 2.048318862915039, 1.9292043447494507, 1.8573673963546753, 1.8089256286621094]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1e12bdd0>,0.01,128,81.23276901245117
4,"[2.280153751373291, 2.0637693405151367, 1.9397938251495361, 1.8655202388763428, 1.8120380640029907]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1e12bdd0>,0.1,128,84.94445204734802
5,"[2.3273942470550537, 2.1643435955047607, 2.0721006393432617, 1.996922492980957, 1.9252995252609253]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efdfabc6ad0>,0.1,128,84.04444360733032
6,"[2.358692169189453, 2.1982712745666504, 2.1158392429351807, 2.049220085144043, 1.9883718490600586]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efdfabc6ad0>,0.1,256,52.59848356246948
7,"[2.2792041301727295, 2.083970546722412, 1.9930665493011475, 1.9477713108062744, 1.9267536401748657]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1e12bdd0>,0.01,64,165.44590997695923
8,"[2.31083345413208, 2.1274631023406982, 2.016516923904419, 1.9289933443069458, 1.860144019126892]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efdfabc6ad0>,0.01,64,203.99525046348572
9,"[2.3204290866851807, 2.157008647918701, 2.0587680339813232, 1.9720646142959595, 1.8968831300735474]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efdfabc6ad0>,0.01,64,158.85041618347168
