,loss,opt,lr,batch,tiempo
0,"[2.9213409423828125, 2.4266104698181152, 2.3579065799713135, 2.3258121013641357, 2.303757667541504]",<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f14d0726bd0>,0.1,64,143.52068972587585
1,"[2.3137028217315674, 2.1585710048675537, 2.0987582206726074, 2.048809051513672, 2.0106558799743652]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.1,128,63.95843577384949
2,"[2.5664870738983154, 2.344730854034424, 2.3121774196624756, 2.294703722000122, 2.282759428024292]",<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f14d0726bd0>,0.001,16,383.44481205940247
3,"[2.5473036766052246, 2.4754116535186768, 2.4550907611846924, 2.4401228427886963, 2.4286630153656006]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.5,16,383.5525977611542
4,"[2.4900383949279785, 2.5099499225616455, 2.4885385036468506, 2.456972599029541, 2.4416255950927734]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.2,16,373.1092302799225
5,"[2.710239887237549, 2.6307373046875, 2.6272850036621094, 2.6270289421081543, 2.6272788047790527]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.1,8,490.4851698875427
6,"[2.3793842792510986, 2.2370383739471436, 2.1828112602233887, 2.1598401069641113, 2.147585391998291]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.1,32,175.3250868320465
7,"[2.685987949371338, 2.653548240661621, 2.7087504863739014, 2.749819278717041, 2.7489206790924072]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.2,8,523.0894296169281
8,"[2.274177074432373, 2.1097116470336914, 2.038640260696411, 1.9897066354751587, 1.9508581161499023]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.1,128,59.89347743988037
9,"[2.335308790206909, 2.140141725540161, 2.020108461380005, 1.9364601373672485, 1.8758548498153687]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f14d0726d50>,0.5,16,383.6535048484802
