,loss,opt,lr,batch,tiempo
0,"[2.279919385910034, 2.06357741355896, 1.9366415739059448, 1.842990517616272, 1.779146671295166]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.01,256,53.92564678192139
1,"[2.2793378829956055, 2.0620734691619873, 1.9386968612670898, 1.8648104667663574, 1.8134790658950806]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.001,128,84.15811157226562
2,"[2.297930955886841, 2.1108431816101074, 2.0227649211883545, 1.9719252586364746, 1.9436328411102295]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.01,64,204.20485019683838
3,"[2.314058303833008, 2.20872163772583, 2.0471675395965576, 1.9807521104812622, 1.9393079280853271]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.01,64,204.41723918914795
4,"[2.2824902534484863, 2.064470052719116, 1.937114953994751, 1.8480424880981445, 1.7860857248306274]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.001,256,52.732396364212036
5,"[2.3102364540100098, 2.1119275093078613, 1.9939168691635132, 1.8983135223388672, 1.822962999343872]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.01,512,43.08437490463257
6,"[2.278824806213379, 2.0537166595458984, 1.9333821535110474, 1.860945701599121, 1.8136253356933594]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.1,128,80.00656127929688
7,"[2.2747702598571777, 2.0566213130950928, 1.9336190223693848, 1.8575564622879028, 1.8125592470169067]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.001,128,84.14537024497986
8,"[2.302670955657959, 2.0894854068756104, 1.9624727964401245, 1.8681329488754272, 1.7972686290740967]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.01,512,41.99958419799805
9,"[2.3023648262023926, 2.107154130935669, 1.985177755355835, 1.8926230669021606, 1.8181562423706055]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efdfbfff150>,0.1,512,43.120118618011475
