,loss,opt,lr,batch,tiempo
0,"[2.3203253746032715, 2.181882858276367, 2.110689163208008, 2.0547573566436768, 2.0009336471557617]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f147d81e650>,0.001,256,31.787111282348633
1,"[2.3030054569244385, 2.089998960494995, 1.969901204109192, 1.8763549327850342, 1.8059996366500854]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f147520db50>,0.001,512,26.185744762420654
2,"[2.2722373008728027, 2.052720308303833, 1.931793451309204, 1.8555324077606201, 1.8052654266357422]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f147520db50>,0.1,128,54.73284912109375
3,"[3.996551752090454, 3.2978427410125732, 2.957911729812622, 2.7724668979644775, 2.659142255783081]",<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f147520d850>,0.01,512,42.46887731552124
4,"[2.330949544906616, 2.1735713481903076, 2.0767195224761963, 2.0009100437164307, 1.9328893423080444]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f147d81e650>,0.01,128,50.63120698928833
5,"[2.27190899848938, 2.063732385635376, 1.9772711992263794, 2.0296332836151123, 2.8773679733276367]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f147520db50>,0.01,64,95.43403625488281
6,"[2.290860414505005, 2.071192502975464, 1.9347668886184692, 1.8452705144882202, 1.779822587966919]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f147520db50>,0.01,256,31.875779390335083
7,"[2.414213180541992, 2.2147653102874756, 2.1565868854522705, 2.100024938583374, 2.060837984085083]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f147d81e650>,0.1,512,24.71745991706848
8,"[2.296747922897339, 2.086534261703491, 1.9745745658874512, 1.893287181854248, 1.8410892486572266]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f147d81e110>,0.01,64,86.95412850379944
9,"[2.285698652267456, 2.0697832107543945, 1.9367690086364746, 1.8483660221099854, 1.7835667133331299]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f147520db50>,0.01,256,30.094476461410522
