,loss,opt,lr,batch,tiempo
0,"[2.2708115577697754, 2.050384044647217, 1.919874906539917, 1.8324490785598755, 1.7713589668273926]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.01,256,43.82983899116516
1,"[2.733931303024292, 2.634199857711792, 2.6086485385894775, 2.6654372215270996, 2.648855209350586]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.001,8,483.956716299057
2,"[2.319284200668335, 2.1458113193511963, 2.03157114982605, 1.9401181936264038, 1.8710259199142456]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f14d0726d50>,0.5,32,203.60020112991333
3,"[2.222607135772705, 2.0068233013153076, 1.9092128276824951, 1.8409111499786377, 1.7922228574752808]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.1,128,71.17571759223938
4,"[2.3695340156555176, 2.178192377090454, 2.0690178871154785, 1.995162844657898, 1.94121253490448]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f14d0726d50>,0.001,8,493.1405920982361
5,"[2.2673912048339844, 2.04354190826416, 1.9245892763137817, 1.8522238731384277, 1.8061002492904663]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.5,128,68.36652326583862
6,"[2.399423360824585, 2.2649154663085938, 2.212503433227539, 2.194196939468384, 2.18644642829895]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7f14d0726b50>,0.001,32,263.59337520599365
7,"[2.7131900787353516, 2.365342855453491, 2.319657325744629, 2.2957727909088135, 2.2787106037139893]",<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f14d0726bd0>,0.2,32,203.45473265647888
8,"[2.3733773231506348, 2.2624361515045166, 2.227639675140381, 2.1993515491485596, 2.1752781867980957]",<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f14dbf74550>,0.1,64,109.75157117843628
9,"[2.331319808959961, 2.1432769298553467, 2.017733097076416, 1.9376726150512695, 1.87653648853302]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7f14d0726d50>,0.01,16,362.00844836235046
